FLY_GENE1	FLY_GENE2	REFERENCE	DATE_LAST_UPDATED	DATA_VERSION	REFERENCEURL	SYMBOL_BD	SYMBOL_AD	INTERACTION_TYPE	INTERACTION_DETECT_METHODS
FBgn0000490	FBgn0000497	FBrf0179415	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0179415.html	dpp	ds	gg	
FBgn0001297	FBgn0030018	FBrf0193269	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0193269.html	kay	slpr	gg	
FBgn0002618	FBgn0003042	FBrf0110811	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0110811.html	M(3)80	Pc	gg	
FBgn0003444	FBgn0083260	FBrf0188528	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188528.html	smo	E(smoDN)845	gg	
FBgn0003415	FBgn0005592	FBrf0187664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187664.html	skd	btl	gg	
FBgn0000256	FBgn0000308	FBrf0088486	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0088486.html	capu	chic	gg	
FBgn0001104	FBgn0004198	FBrf0187644	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187644.html	Gë±i	ct	gg	
FBgn0003118	FBgn0016977	FBrf0129761	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0129761.html	pnt	spen	gg	
FBgn0000625	FBgn0004647	"FBrf0167947, FBrf0179159"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0167947.html, http://flybase.net/reports/FBrf0179159.html"	eyg	N	gg	
FBgn0011763	FBgn0026261	FBrf0108515	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0108515.html	Dp	bonsai	gg	
FBgn0000346	FBgn0041730	FBrf0127054	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0127054.html	comt	ovr	gg	
FBgn0022343	FBgn0083242	FBrf0188513	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0188513.html	CG3760	EP1244	gg	
FBgn0010333	FBgn0034644	FBrf0187664	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187664.html	Rac1	CG10082	gg	
FBgn0002605	FBgn0002618	FBrf0036530	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0036530.html	M(2)56F	M(3)80	gg	
FBgn0001259	FBgn0086698	FBrf0187636	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187636.html	in	frtz	gg	
FBgn0004009	FBgn0263930	"FBrf0110205, FBrf0129975, FBrf0110960, FBrf0136852"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0110205.html, http://flybase.net/reports/FBrf0129975.html, http://flybase.net/reports/FBrf0110960.html, http://flybase.net/reports/FBrf0136852.html"	wg	dally	gg	
FBgn0004110	FBgn0028789	FBrf0190316	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190316.html	tin	Doc1	gg	
FBgn0003053	FBgn0003963	FBrf0090577	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0090577.html	peb	ush	gg	
FBgn0000140	FBgn0003268	FBrf0132420	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0132420.html	asp	rod	gg	
FBgn0010382	FBgn0263603	FBrf0180291	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0180291.html	CycE	Zn72D	gg	
FBgn0011766	FBgn0266464	FBrf0187645	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0187645.html	E2f1	Nsf2	gg	
FBgn0004009	FBgn0067784	FBrf0158859	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0158859.html	wg	arr::fz2	gg	
FBgn0003117	FBgn0267825	"FBrf0167519, FBrf0187660"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0167519.html, http://flybase.net/reports/FBrf0187660.html"	pnr	L	gg	
FBgn0003117	FBgn0003444	FBrf0147055	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0147055.html	pnr	smo	gg	
FBgn0003716	FBgn0011655	"FBrf0102615, FBrf0102634, FBrf0102608"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0102615.html, http://flybase.net/reports/FBrf0102634.html, http://flybase.net/reports/FBrf0102608.html"	tkv	Med	gg	
FBgn0011706	FBgn0262081	FBrf0190225	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0190225.html	rpr	Csk	gg	
FBgn0001319	FBgn0004635	FBrf0076146	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0076146.html	kn	rho	gg	
FBgn0026351	FBgn0026359	FBrf0107534	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0107534.html	Su(SuRaf1)IV	Su(Raf)43B	gg	
FBgn0000117	FBgn0003731	FBrf0123026	20-Nov-15	2015_12	http://flybase.net/reports/FBrf0123026.html	arm	Egfr	gg	
FBgn0004034	FBgn0004861	"FBrf0104732, FBrf0109352"	20-Nov-15	2015_12	"http://flybase.net/reports/FBrf0104732.html, http://flybase.net/reports/FBrf0109352.html"	y	ph-p	gg	
