Symbol,int
Su(rst)B188,1
Su(rst)B183,1
Su(rst)B16,1
su(RpII215)S3,1
su(RpII140<up>Z36</up>)S9,2
su(RpII140<up>Z36</up>)S8,4
su(RpII140<up>Z36</up>)S7,1
su(RpII140<up>Z36</up>)S6,1
su(RpII140<up>Z36</up>)S5,1
su(RpII140<up>Z36</up>)S4,1
su(RpII140<up>Z36</up>)S3,1
su(RpII140<up>Z36</up>)S20,2
su(RpII140<up>Z36</up>)S2,6
su(RpII140<up>Z36</up>)S19,1
su(RpII140<up>Z36</up>)S18,1
su(RpII140<up>Z36</up>)S17,1
su(RpII140<up>Z36</up>)S16,1
su(RpII140<up>Z36</up>)S15,1
su(RpII140<up>Z36</up>)S14,2
su(RpII140<up>Z36</up>)S13,1
su(RpII140<up>Z36</up>)S12,3
su(RpII140<up>Z36</up>)S11,1
su(RpII140<up>Z36</up>)S10,13
su(RpII140<up>Z36</up>)S1,1
Su(ro<up>DOM</up>)923,3
Su(ro<up>DOM</up>)519,5
Su(ro<up>DOM</up>)345,1
Su(ro<up>DOM</up>)3023,1
Su(ro<up>DOM</up>)2014,1
Su(ro<up>DOM</up>)1993,7
Su(ro<up>DOM</up>)1480,1
Su(rdgB)83,3
su(rdgB)82,1
Su(rdgB)116,2
Su(Raf)43B,1
Su(Raf)43B,1
Su(Raf)43B,3
Su(Raf)43B,1
Su(Raf)43B,3
Su(Raf)3C,2
su(r),1
su(pr),1
su(pr),1
Su(phl)9,4
Su(phl)9,1
Su(phl)7,1
Su(phl)7,1
Su(phl)6,1
Su(phl)6,1
Su(phl)43B,1
Su(phl)43B,3
Su(phl)4,2
Su(phl)4,1
Su(Pc)37D,1
Su(Pc)37D,1
Su(Pc)35CD,3
Su(Pc)35CD,1
Su(par),1
Su(P),1
Su(osk)P59,2
Su(osk)P2,1
Su(osk)P16,6
Su(osk)M26,1
Su(osk)K6,1
Su(osk)K2,1
Su(osk)H1,1
Su(osk)G71,1
Su(osk)G28,3
Su(osk)G23,1
Su(osk)E2,1
Su(osk)D20,1
Su(osk)C37,1
Su(osk)B11,5
Su(osk)3-O26,1
Su(osk)2-O26,2
su(N),2
su(msm1),1
Su(mg)3-5,8
Su(mg)3-4,2
Su(mg)3-3,1
Su(mg)3-2,6
